Stories,,,,,,,,,,,,,,,,
Comparative Monthly Sales ,,,,,,,,,,,,,,,,
22-Jan-26,,"Year: 2026,2025",,,,,,,,,,Page 1 of,0.01,,,
,,January,February,March,April,May,June,July,August,September,October,November,December,Total By Year,January,
2025,Stories - Bir Hasan,"3,355,705.33","2,842,993.67","2,266,050.67","3,459,979.67","2,125,379.33","744,638.33","3,799,740.25","3,783,897.91","3,255,935.75","3,128,528.54","2,851,287.10","2,743,087.70","34,357,224.24","1,792,619.23",
,Stories Ain El Mreisseh,"12,648,546.67","9,929,973.33","9,849,926.67","13,025,923.33","7,208,975.00","2,883,403.33","11,889,329.16","11,610,097.92","11,021,123.75","10,516,783.81","9,387,782.61","9,640,996.43","119,612,862.02","6,348,294.91",
,Stories Airport,0,0,0,0,0,"8,428.83","2,940,003.01","6,963,426.45","7,467,197.62","8,414,672.70","7,029,720.14","6,604,828.86","39,428,277.60","4,684,588.61",
,Stories Antelias,"2,615,854.33","2,139,010.67","3,162,716.67","3,391,741.33","2,033,635.67","728,978.33","2,963,696.71","3,182,363.97","2,909,965.47","2,715,152.86","2,551,353.16","2,234,759.77","30,629,228.94","1,429,394.60",
,Stories Batroun,"4,266,517.33","3,388,117.33","4,890,198.33","5,516,881.67","2,963,980.33","1,311,240.00","6,135,003.02","6,751,770.29","5,041,150.76","4,372,225.54","4,272,667.88","5,163,712.03","54,073,464.51","2,839,402.11",
,Stories Bayada,"4,497,376.67","3,419,106.67","5,083,386.67","5,196,906.67","3,043,400.00","1,208,190.00","5,448,609.92","5,613,038.75","4,917,258.26","5,224,336.34","4,588,470.28","4,403,458.27","52,643,538.48","2,688,382.59",
,Stories Centro Mall,"3,264,533.33","2,944,806.67","2,218,466.67","3,937,166.67","1,955,286.67","924,383.33","4,201,339.95","4,307,333.34","3,232,537.55","3,059,645.65","3,497,554.96","3,998,663.08","37,541,717.86","2,236,126.13",
,Stories Event Starco,0,0,0,0,0,0,918.92,"3,141.14",0,0,"6,606.61","586,645.65","597,312.31","37,549.55",
,Stories Faqra,"1,889,910.00","1,829,960.00","1,479,756.67","2,298,003.33","1,109,666.67","352,083.33","482,036.04","1,535,977.47",0,0,0,0,"10,977,393.51","4,657,413.53",
,Stories Khaldeh,"7,468,155.33","6,108,429.33","6,420,841.00","8,455,732.00","4,487,117.67","2,262,395.00","9,464,291.92","10,661,995.53","7,859,844.17","7,348,415.03","6,744,352.33","6,874,042.67","84,155,611.99","735,243.25",
,Stories LAU,"1,832,006.33","1,863,050.33","1,859,610.67","2,358,631.33","1,206,958.00","398,961.67","1,050,186.19","1,683,288.29","627,849.85","1,369,579.58","1,173,966.97","619,603.60","16,043,692.82","2,941,828.23",
,Stories Le Mall,"3,881,015.00","3,772,586.67","4,220,770.00","4,428,620.00","2,163,876.67","967,783.33","4,986,426.44","5,452,825.84","4,201,888.90","3,807,124.33","3,984,058.87","5,003,540.55","46,870,516.59","2,786,703.91",
2025,Stories Mansourieh,0,0,0,0,0,0,"193,405.41","5,928,212.63","5,813,335.75","5,978,077.49","4,888,906.92","4,198,633.64","27,000,571.83","3,913,985.60",
,Stories Ramlet El Bayda,0,"1,570,806.67","3,588,563.33","6,011,885.00","3,542,743.33","1,445,760.00","7,427,539.62","7,668,109.92","6,585,103.32","6,435,858.57","5,863,675.69","5,944,644.46","56,084,689.92","2,433,043.85",
,Stories Saida,"7,263,332.33","5,121,351.33","4,684,910.67","6,361,154.33","3,010,781.67","1,323,360.00","5,939,826.44","5,925,560.98","4,245,091.90","3,639,435.44","3,665,840.85","3,825,643.86","55,006,289.81","2,434,786.67",
,Stories Sour 2,0,0,0,0,0,0,"4,504,179.49","5,532,578.53","3,970,129.99","3,313,013.33","2,948,339.91","3,173,568.29","23,441,809.54","1,069,784.99",
,Stories Verdun,"1,747,977.87","1,387,090.33","1,436,257.67","2,105,139.33","1,195,236.33","449,746.67","3,417,793.41","3,481,408.42","2,989,974.79","2,764,180.79","2,465,933.34","1,695,655.86","25,136,394.81","5,752,503.31",
,Stories Zalka,"10,449,006.67","8,417,640.00","10,840,106.67","11,182,530.00","6,433,973.33","2,504,900.00","10,265,530.04","10,774,439.35","9,882,169.98","9,775,939.95","8,876,666.37","8,566,291.90","107,969,194.27","2,173,788.60",
,Stories alay,0,0,0,0,0,0,"4,219,344.76","8,565,845.07","5,397,295.51","4,503,168.48","4,071,091.30","3,739,480.50","30,496,225.61","1,993,321.33",
,Stories amioun,0,0,0,0,0,0,0,0,0,"3,582,319.53","3,115,747.75","3,067,997.01","9,766,064.29","4,189,610.42",
,Stories jbeil,0,0,0,0,0,0,0,0,"2,402,935.00","10,218,320.22","7,848,030.44","6,692,888.56","27,162,174.22","1,034,753.16",
,Stories kaslik,0,0,0,0,0,0,0,0,0,0,"1,237,539.34","1,583,014.42","2,820,553.76","1,896,890.40",
,Stories raouche,0,0,0,0,0,0,0,0,0,0,"1,740,370.88","2,815,825.84","4,556,196.71","2,455,657.06",
,Stories sin el fil,0,0,0,0,0,0,0,0,0,"2,624,897.90","4,122,138.15","3,551,489.50","10,298,525.55","62,525,672.03",
,Stories.,"2,190,006.67","2,527,096.67","2,385,366.67","3,555,273.33","2,024,430.00","923,133.33","300,556.67",0,0,0,0,0,"13,905,863.33",,
,Total,"67,369,943.87","57,262,019.67","64,386,929.00","81,285,568.00","44,505,440.67","18,437,385.50","89,629,757.34","109,425,311.80","91,820,788.32","102,791,676.10","96,932,101.85","96,728,472.42","920,575,394.53","62,525,672.03",
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
