Description,Qty,Total Amount,all_nan,Branch,Division,Group
ESPRESSO,3313.0,"500,103.75",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
DOUBLE ESPRESSO,3200.0,"498,631.33",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
AMERICANO SMALL,902.0,"176,816.53",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
AMERICANO MEDIUM,657.0,"152,807.36",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
AMERICANO LARGE,334.0,"88,443.43",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE SMALL,823.0,"133,384.23",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE MEDIUM,307.0,"62,723.78",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
BLACK COFFEE LARGE,86.0,"19,908.92",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
SINGLE ESPRESSO MACC,32.0,"5,156.93",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
DOUBLE ESPRESSO MAC,35.0,"6,595.68",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
TRIPLE ESPRESSO,197.0,"7,654.17",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
SINGLE LONGO,49.0,"8,386.67",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
DOUBLE LONGO,124.0,"22,702.34",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
Total by Group: BLACK COFFEE,10059.0,"1,683,315.12",False,Stories - Bir Hasan,HOT BAR SECTION,BLACK COFFEE
LATTE SMALL,2306.0,"450,232.62",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
LATTE MEDIUM,2972.0,"692,532.04",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO SMALL,761.0,"156,288.19",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO MEDIUM,727.0,"173,038.73",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA SMALL,318.0,"71,402.39",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA MEDIUM,309.0,"83,249.79",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA SMALL,2803.0,"516,236.82",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA MEDIUM,1880.0,"494,665.90",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
