Branch,has_toters,pred_Sales_Toters,pred_GM_pct_Toters,pred_Profit_Toters
Stories Event Starco,False,35247410.56511715,0.7610776365781262,26826015.928398237
Stories Faqra,False,25895873.497370947,0.7605988288661689,19696371.054566804
Stories Sour 2,False,15334926.974643195,0.761457113855739,11676889.235300327
Stories Ramlet El Bayda,False,10191496.565734625,0.7573212474231973,7718236.892271377
Stories Centro Mall,False,9809893.562271357,0.7583006532169326,7438848.696258952
Stories raouche,False,7234900.430877823,0.7590081282049213,5491348.233789555
Stories.,False,5419768.736442602,0.7585397112938286,4111109.8126204894
Stories jbeil,False,5346861.684580341,0.7592900112170217,4059818.6684608706
Stories amioun,False,3348418.935246168,0.7593230798420042,2542531.7785124048
Stories kaslik,False,2420037.771394004,0.7582865532495973,1835082.1004041962
