Branch,Dominant_Pattern,Dominant_Weight
Stories - Bir Hasan,Pattern_0,0.1755452981226904
Stories Ain El Mreisseh,Pattern_4,0.1231465729370355
Stories Airport,Pattern_2,0.2086961416289167
Stories Antelias,Pattern_0,0.1972427513360811
Stories Batroun,Pattern_4,0.1198618486719545
Stories Bayada,Pattern_8,0.2150539838434144
Stories Centro Mall,Pattern_8,0.1528943749935891
Stories Event Starco,Pattern_1,0.549945516244669
Stories Faqra,Pattern_0,0.2461669296721886
Stories Khaldeh,Pattern_0,0.1575982267101207
Stories LAU,Pattern_0,0.2128395938153666
Stories Le Mall,Pattern_8,0.3090471224921037
Stories Mansourieh,Pattern_8,0.1748083870580002
Stories Ramlet El Bayda,Pattern_4,0.2078675208688823
Stories Saida,Pattern_8,0.2045010740764357
Stories Sour 2,Pattern_0,0.1679560561204045
Stories Verdun,Pattern_0,0.3073702085324177
Stories Zalka,Pattern_8,0.2090474678468082
Stories alay,Pattern_2,0.1293620847833142
Stories amioun,Pattern_1,0.154770785661506
Stories jbeil,Pattern_3,0.1362510707565808
Stories kaslik,Pattern_0,0.1224856375869479
Stories raouche,Pattern_1,0.1637684794224548
Stories sin el fil,Pattern_7,0.1640484127720941
Stories.,Pattern_8,0.263817633930116
