Branch,0,1,2
Stories - Bir Hasan,0.13672777595917418,0.11361359343758627,0.16511544152693874
Stories Ain El Mreisseh,0.0998530842730958,0.12671997960290768,0.18879157156989887
Stories Airport,0.0,0.0,0.39755752222344487
Stories Antelias,0.29042067572710273,0.151117137568133,0.019387501326797476
Stories Batroun,0.15781329145100093,0.17535952028405838,0.09543170606547781
Stories Bayada,0.2202885442447908,0.157497053005909,0.03223511747558902
Stories Centro Mall,0.06549555275675241,0.01756743131394743,0.3380121875861367
Stories Event Starco,0.0,0.25797748653350533,0.21647014213692123
Stories Faqra,0.25045332226449896,0.10300334042743282,0.13468190847270148
Stories Khaldeh,0.078478379880558,0.09676498915177996,0.23594083902031096
Stories LAU,0.29219513473381087,0.10015467117175379,0.07453066866128998
Stories Le Mall,0.301901188894336,0.11858434897954805,0.03217062172430548
Stories Mansourieh,0.2759965520470023,0.13419302580455464,0.01779947104531382
Stories Ramlet El Bayda,0.1271422382943519,0.14702523620597568,0.10972387443981162
Stories Saida,0.1794366664403808,0.08144169135315034,0.16898963135017755
Stories Sour 2,0.131785492712764,0.0021506391770835793,0.27748911770496576
Stories Verdun,0.1878539707979487,0.06290520581599593,0.23050687017151297
Stories Zalka,0.23646241428177736,0.17406491136192165,0.003418894281516949
Stories alay,0.07510440311843515,0.07012386442714012,0.2704097351193778
Stories amioun,0.14517347430501604,0.2058439901139805,0.04963047344275851
Stories jbeil,0.21738736636427022,0.17782455006000927,0.011516622453669195
Stories kaslik,0.19551174375274935,0.1918746146906859,0.03743232434061649
Stories raouche,0.06512869964294805,0.17190093059810052,0.20479435864013856
Stories sin el fil,0.17753455744886631,0.20337658895202929,0.0
Stories.,0.14338997648391064,0.0,0.28211639329708993
