Branch,0,1,2,3,4
Stories - Bir Hasan,0.15774289296140026,0.09600277651185635,0.05693507884210321,0.053592611688150486,0.14750488979788148
Stories Ain El Mreisseh,0.13436462883611452,0.1557062272031094,0.07039807463785683,0.046277543511589574,0.08571838107288025
Stories Airport,0.12999117144438024,0.05786348846236404,0.19136158139337522,0.02194114165861016,0.14979209173933244
Stories Antelias,0.2516229481631726,0.08692257192484283,0.006764462999153976,0.06354122183757013,0.04992966895009939
Stories Batroun,0.14012346132096087,0.14449644649951465,0.014765442187000752,0.06976996473795682,0.15074160467927947
Stories Bayada,0.18123420185132874,0.08750384014162567,0.008264475870264592,0.08296248838086331,0.10930158889570617
Stories Centro Mall,0.18006474011368398,0.09045718537101256,0.15543558863214763,0.0034516899571997643,0.06402162295779525
Stories Event Starco,0.03722347732480496,0.4178309073565828,0.021710372587984823,0.00010251693627650693,0.03924177961007156
Stories Faqra,0.25776340271394865,0.04158373736564805,0.006105506086907879,0.0013507608067429987,0.23831163634317656
Stories Khaldeh,0.13241729202689162,0.11954655087827783,0.09188133732827818,0.045770071126832595,0.133251969795562
Stories LAU,0.2814609543390761,0.03138580226211012,0.042326659193645214,0.05723141583218992,0.06460514872931243
Stories Le Mall,0.27479993725884766,0.05211412694675811,0.028257913254618648,0.06128706022086823,0.021412213993279472
Stories Mansourieh,0.23245143005291855,0.03315018322548841,0.01853671222878189,0.09356745117828767,0.09832967570162819
Stories Ramlet El Bayda,0.11816107939009467,0.10299445710859692,0.028433249744747903,0.0790832617347109,0.17612902204343006
Stories Saida,0.21588321472837022,0.08748943033430696,0.0909054467475474,0.045105209723335205,0.01594701230903216
Stories Sour 2,0.21556070117071346,0.0,0.13762922807815328,0.028879233902865453,0.12162738885593517
Stories Verdun,0.25169372489668146,0.08316295434360421,0.07871351944586755,0.0,0.09704336454377467
Stories Zalka,0.18383310915095505,0.09849487602803036,0.002867778893168504,0.09756169923657251,0.08046176132255685
Stories alay,0.14991322719896213,0.11299122297070176,0.12266179150375715,0.03886193813809695,0.08602365757418996
Stories amioun,0.11462577820646508,0.20983906961828022,0.02340332572712187,0.09536334025436659,0.0
Stories jbeil,0.1663440390698425,0.10780057752699546,0.0,0.09424060900313021,0.0993983711416923
Stories kaslik,0.1566988868557994,0.1590735160149514,0.0,0.0762633205763997,0.07872459302983331
Stories raouche,0.10988114820046095,0.27751492291561536,0.047658130035722265,0.0020683376293484193,0.02971106449236116
Stories sin el fil,0.12246108452300884,0.15311334943539726,0.0021437376658222634,0.11655846975127317,0.050192423952844456
Stories.,0.2401575688714512,0.03576438925075053,0.16065457532535854,0.018628633043544535,0.0
