Branch,0,1,2,3,4,5
Stories - Bir Hasan,0.1457767256128451,0.08542903612351684,0.051456778715207326,0.05531007450178019,0.13275721986438485,0.0311267554079704
Stories Ain El Mreisseh,0.12065658125112923,0.14574866294020464,0.06054938089211565,0.04610466100750536,0.08741935835222604,0.03800980565459118
Stories Airport,0.11296741205909996,0.07264779636753352,0.17168129648510772,0.017210520717948968,0.11542659179050886,0.046243802192845296
Stories Antelias,0.23952114761747031,0.06054141808095595,0.00677243417543175,0.063722642896194,0.06475019990835154,0.034599560948185025
Stories Batroun,0.11068686079014525,0.1198153064376808,0.008750850316189027,0.06212925139096833,0.06293458912435053,0.10617892105939078
Stories Bayada,0.1489583126500593,0.0631579788438258,0.0049823304634441104,0.07089277101591922,0.0063035572099907795,0.11730475157075564
Stories Centro Mall,0.16179795632569866,0.08989306239558939,0.13604243560026522,0.0,0.062038085281185866,0.05626888974091653
Stories Event Starco,0.0,0.3774699810414642,0.0,0.0,0.0,0.1461564680197821
Stories Faqra,0.2337224192522954,0.0,0.00013350374154915263,0.00020156559675211532,0.18436173227440383,0.09308803103563827
Stories Khaldeh,0.12489078031869476,0.11757090324212348,0.08279538008914865,0.04963767802512238,0.14449325358094078,0.010414787267330958
Stories LAU,0.2720994655307812,0.01353836300283872,0.041498100580467476,0.058146426784282716,0.08523353715705145,0.020316344933884702
Stories Le Mall,0.25329686324826456,0.027408590935215728,0.025251779956030673,0.05360544207340091,0.0,0.07271801762149371
Stories Mansourieh,0.21462524784933973,0.01572827335149207,0.020335560513586485,0.08913802815148167,0.05267712148323233,0.05455987213857651
Stories Ramlet El Bayda,0.09864199789395771,0.09038014480754478,0.025329851988652643,0.07656445273405571,0.105918016437788,0.06295930186077645
Stories Saida,0.20579114823142014,0.08138830871048897,0.08253985834736728,0.04389922581494765,0.04691897005282447,0.021028488946512245
Stories Sour 2,0.19706084463039725,0.0,0.1251160537479188,0.022666024385546827,0.08533274037485661,0.05644443042488074
Stories Verdun,0.24472102008354632,0.0633446607183723,0.06830095291646224,0.0,0.1552268322210337,0.014410406317142934
Stories Zalka,0.15648254113867918,0.07742938007532597,0.0022194273837045126,0.08802850309534943,0.0005194894222409143,0.09432655184510237
Stories alay,0.1304012024938865,0.11123538720664863,0.10784185068610089,0.03324105388754894,0.06162622575126775,0.05963489460247051
Stories amioun,0.1093038781490344,0.2012958466444413,0.02173106529862348,0.09916099574886268,0.039045525436070025,0.0
Stories jbeil,0.14587767399972906,0.08756596446718028,0.0,0.08974361575032914,0.04470714604061907,0.06692493054938861
Stories kaslik,0.14671657600702484,0.13752533050876106,0.0,0.07939429009806018,0.08840344309823046,0.024776880451868547
Stories raouche,0.10690475130209671,0.25512567255417773,0.0342036146978405,0.011401760515651466,0.12620353029923576,0.0
Stories sin el fil,0.11412424832426858,0.14409003479295862,0.005110953796872057,0.11843914497714159,0.04677005005086965,0.012357867960653744
Stories.,0.22067237602802156,0.038622429310310534,0.14385396438551007,0.008972248350334208,0.0,0.057922576486018465
