Branch,0,1,2,3,4,5,6,7
Stories - Bir Hasan,0.14168020706602646,0.08789560939513871,0.06914189706338172,0.046126730200644506,0.12333876204736458,0.015579292568545428,0.003171610960016174,0.011490024965365685
Stories Ain El Mreisseh,0.09133765154808447,0.1575557129733978,0.067702128882127,0.028727277438542004,0.04860224371252597,0.022068446458526934,0.024006230795071668,0.01411955902058965
Stories Airport,0.10490479885683193,0.08100073253723401,0.1933743683131865,0.01933790271415254,0.07287580650814204,0.02570087563951164,0.010065416191860313,0.0
Stories Antelias,0.19911257469136748,0.06869577047447349,0.0020176322652580335,0.04608199044676194,0.027676099224163923,0.011292019395677748,0.034774904015101346,0.0
Stories Batroun,0.0823742815850304,0.14761906756467885,0.015737335023969647,0.0459450767599127,0.02396703566225613,0.06776659146890425,0.028179703791958492,0.0
Stories Bayada,0.13227384918088161,0.07097684160833134,0.0011622280325644043,0.013484392805267715,0.012897445114252639,0.0772135146144937,0.023855389228335567,0.07321626162774815
Stories Centro Mall,0.15022644077038635,0.09531760041771958,0.14307569834139341,0.0,0.033211128773391066,0.03293735590147606,0.013792930112587028,0.0
Stories Event Starco,0.0,0.41238793936458445,0.0005558049297343951,0.0,0.0,0.11511212936217638,0.0,0.0
Stories Faqra,0.23693958164971365,0.0,0.019898135449550488,0.0,0.19793457044006102,0.05576285589344634,0.003130164048364137,0.0
Stories Khaldeh,0.10449205393419621,0.12507328808642046,0.10111255129196302,0.044386030762501937,0.10466975559171943,0.0015485738913702009,0.014223304423710934,0.0
Stories LAU,0.27432685477930757,0.004146599497540587,0.04663622392443325,0.055775056373852126,0.0962053264880372,0.0,0.0,0.002148598829562082
Stories Le Mall,0.22923704673249018,0.024653807012572818,0.012708184757182404,0.011797036569848976,0.0,0.03980516830047169,0.02793172749108807,0.04958980517018332
Stories Mansourieh,0.19042801066234097,0.011120887624526109,0.01847681827712688,0.03017138731888016,0.05159958835631642,0.029255055512012056,0.026100024564484424,0.07273099060743182
Stories Ramlet El Bayda,0.10421098178002781,0.07678783704251374,0.038956136732706544,0.0,0.14717401324528795,0.04751057622203605,0.0,0.12818276898876427
Stories Saida,0.19512583225054547,0.07526408984029757,0.08242724364164258,0.027151919438742553,0.04080615551227242,0.006156433136859029,0.010643654974873842,0.02592563728924833
Stories Sour 2,0.19397196327265193,0.0,0.13729318056526593,0.019936662256627095,0.06744263599037256,0.028511526738879623,0.008979039040343898,0.003349905336899174
Stories Verdun,0.23781134891705027,0.05350301740411886,0.08020832788920601,0.0,0.15236472235334203,0.0033576430413841483,0.004740254150248823,0.0
Stories Zalka,0.1499084219428729,0.0835733836322868,0.0,0.04431711274902374,0.013561601091917489,0.05954970263291746,0.012804085814855825,0.05557115330853122
Stories alay,0.0963817035380137,0.12836047629687702,0.11359360586167297,0.02134265969904962,0.0050014116767290555,0.03444015297356082,0.03153395936390619,0.0023823380781476063
Stories amioun,0.0690550145895993,0.20121359090324634,0.01601711855753771,0.03373866017899361,0.018922403381320976,0.0,0.030022862716103244,0.0869439758293366
Stories jbeil,0.10842516914365682,0.11023161795366364,0.0006374762616595109,0.06805281853506975,0.0,0.036282923584081084,0.03388899237616266,0.0
Stories kaslik,0.08922660089136139,0.15743998095176231,0.0,0.05287064085019815,0.023670175866365526,0.009772616809857242,0.04511208336125321,0.0038214279342060524
Stories raouche,0.04741118272224196,0.2715462141632636,0.03621160482924328,0.0,0.056032324142904884,0.0,0.041574951704859114,0.0008254736572696904
Stories sin el fil,0.10569611815586578,0.11561358930688012,0.002197859424901402,0.0,0.10224219369716184,0.015329567868802957,0.008077564718075629,0.19180137094006514
Stories.,0.22957011679864833,0.034373243450014364,0.1434426932550666,0.016853607583253084,0.0,0.028700706133358518,0.0,0.0
