Branch,0,1,2,3,4,5,6,7,8
Stories - Bir Hasan,0.21181297582946612,0.038561785778612266,0.07252911550327215,0.051367918332513425,0.07842587907316866,0.04150742192111765,0.0008127995550392461,0.009606949850906828,0.01217497688581722
Stories Ain El Mreisseh,0.1471704575783128,0.09502944991858785,0.07142403780585378,0.03304580186177711,0.04994139510725723,0.04125822516478561,0.018979224380276966,0.009601074145484905,0.035873361437689086
Stories Airport,0.09350059319429965,0.08572015843597926,0.18619100747660755,0.022714168860006895,0.10044504229726783,0.0,0.011049843922233306,0.0,0.10747647659244101
Stories Antelias,0.16644899381551168,0.02825858466866616,0.0032876038027732837,0.04904557986338196,0.06421036715395011,0.02505548619618704,0.031279276321238884,0.0,0.17069591985010976
Stories Batroun,0.09917092218202195,0.105662109811475,0.02256847032137639,0.04967911380313567,0.19807095513481737,0.036354665668393946,0.022362023332773567,0.0,0.06513416010403805
Stories Bayada,0.10239904795629683,0.049671345484335,0.00713226424199623,0.014626335401296096,0.14888353058263792,0.04411112804354783,0.020046892138664764,0.0603001261239035,0.123698715705821
Stories Centro Mall,0.1079853570848347,0.09761860729664915,0.13559705644242417,0.0,0.058045407252720824,0.0159403937328613,0.013263118927688756,0.0005350961106017167,0.17643704714077152
Stories Event Starco,0.0,0.4697138023475555,0.0,0.0,0.2661059141942222,0.0065332994975661855,0.0,0.0,0.1504440080791018
Stories Faqra,0.2983496333769861,0.0,0.0350449404472949,0.0,0.15796958928854368,0.02502353797571255,0.0,0.0,0.07543683229470188
Stories Khaldeh,0.18702358751302417,0.06526218893610777,0.10381194283679482,0.050081816868890315,0.048284804565955915,0.032047301674529946,0.010331280373608111,0.0,0.0
Stories LAU,0.2231828727702475,0.0,0.03920994757342505,0.060288283003554675,0.061307050279368655,0.024556063242460294,0.0010407303614870971,0.004275185280120062,0.2006775564943007
Stories Le Mall,0.1238461715173162,0.029204719250213316,0.009876359486258124,0.012649078400883638,0.07371333542583028,0.021313235678984646,0.02744358421648993,0.04026934624701573,0.26233724845625667
Stories Mansourieh,0.13928303703335004,0.007774438031864167,0.0203770615583923,0.03224695475681108,0.096117954331184,0.012294814326729868,0.026118444967803033,0.061671526871279934,0.1703727754945162
Stories Ramlet El Bayda,0.1800834701932716,0.07561231345815671,0.04977735814646751,0.0,0.09843890005003651,0.025266297443487316,0.0,0.10907705399269305,0.0
Stories Saida,0.16528578233490357,0.044150791946151305,0.07522901869275649,0.03096064177335775,0.0,0.038834569386454555,0.010233635257901288,0.02012068642534541,0.1595392688086093
Stories Sour 2,0.14388077315556175,0.0,0.13064426433166407,0.02013120383084659,0.08411662241432127,0.017075372538433546,0.009728148571942758,0.005667501355581214,0.1666718795278154
Stories Verdun,0.28378110823877817,0.032311824196557905,0.08327583770627814,0.0,0.0,0.028444756421880126,0.003466509363614863,0.0,0.11184154312480897
Stories Zalka,0.10573580450307335,0.06246329582882422,0.0,0.04965618606521989,0.1480600708250691,0.0456099964096777,0.010887330125912796,0.04505354500769328,0.1383741392948244
Stories alay,0.08244106872263611,0.09312639012531111,0.11145910357756654,0.023067844547579288,0.0807636448702432,0.02246715331502786,0.02850754985840565,0.0016761056912414924,0.11737204625698604
Stories amioun,0.07533313128953577,0.18953526087453043,0.015692743935915823,0.036777988845926354,0.029201869288981497,0.0,0.028503224290237467,0.0746627841247881,0.11167630473854061
Stories jbeil,0.0545312943337032,0.10173928952652994,0.0002135373909714742,0.0740849219344737,0.1885581365076882,0.0004936582672944535,0.031797095360621426,0.0,0.1534554589576189
Stories kaslik,0.1016675068214214,0.12153261979056952,0.0051510935120609325,0.056593562400340365,0.102892259890593,0.0,0.040474513700266536,0.004271735449148072,0.09933783899096356
Stories raouche,0.141605585166898,0.2316977690274837,0.04588465718230926,0.0,0.0,0.0,0.03591658586944718,0.0,0.04816404964332904
Stories sin el fil,0.1475072222893038,0.1193513020314592,0.008345255609077482,0.0,0.0,0.015830081217709336,0.011406371329605165,0.16151570828582526,0.05567482152851369
Stories.,0.14554660309159276,0.0,0.12766184557391447,0.01873624659282254,0.0,0.06602051396698227,0.0,0.0,0.212052624255436
